name,latitude_deg,longitude_deg,country,municipality,iata_code
Pickle Lake Airport,51.4463996887207,-90.21420288085938,CA,Pickle Lake,YPL
Port-Menier Airport,49.836399,-64.288597,CA,Port-Menier,YPN
Peterborough Municipal Airport,44.23,-78.363297,CA,Peterborough,YPQ
Prince Rupert Airport,54.2860984802,-130.445007324,CA,Prince Rupert,YPR
Powell River Airport,49.83420181274414,-124.5,CA,Powell River,YPW
Puvirnituq Airport,60.050598,-77.286903,CA,Puvirnituq,YPX
Fort Chipewyan Airport,58.7672004699707,-111.11699676513672,CA,Fort Chipewyan,YPY
Burns Lake Airport,54.3764,-125.950996,CA,Burns Lake,YPZ
Muskoka Airport,44.975376,-79.306546,CA,Gravenhurst,YQA
Quebec Jean Lesage International Airport,46.7911,-71.393303,CA,Quebec,YQB
The Pas Airport,53.97140121459961,-101.09100341796876,CA,The Pas,YQD
Red Deer Regional Airport,52.182201,-113.893997,CA,Springbrook,YQF
Windsor Airport,42.27560043334961,-82.95559692382812,CA,Windsor,YQG
Watson Lake Airport,60.116839,-128.821993,CA,Watson Lake,YQH
Yarmouth Airport,43.826900482177734,-66.08809661865234,CA,Yarmouth,YQI
Kenora Airport,49.788299560546875,-94.36309814453124,CA,Kenora,YQK
Lethbridge County Airport,49.6302986145,-112.800003052,CA,Lethbridge,YQL
Greater Moncton Roméo LeBlanc International Airport,46.112202,-64.678596,CA,Moncton,YQM
Nakina Airport,50.18280029296875,-86.69640350341797,CA,Nakina,YQN
Comox Valley Airport / CFB Comox,49.7108,-124.887001,CA,Comox,YQQ
Regina International Airport,50.43190002441406,-104.66600036621094,CA,Regina,YQR
St Thomas Municipal Airport,42.77000045776367,-81.11080169677734,CA,St Thomas,YQS
Thunder Bay Airport,48.37189865112305,-89.32389831542969,CA,Thunder Bay,YQT
Grande Prairie Airport,55.1796989441,-118.885002136,CA,Grande Prairie,YQU
Yorkton Municipal Airport,51.26470184326172,-102.46199798583984,CA,Yorkton,YQV
North Battleford Airport,52.769409,-108.243742,CA,North Battleford,YQW
Gander International Airport / CFB Gander,48.936258,-54.567719,CA,Gander,YQX
Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798,CA,Sydney,YQY
Quesnel Airport,53.026100158691406,-122.51000213623048,CA,Quesnel,YQZ
Resolute Bay Airport,74.7169036865,-94.9693984985,CA,Resolute Bay,YRB
Rivière-du-Loup Airport,47.764400482177734,-69.58470153808594,CA,Rivière-du-Loup,YRI
Roberval Airport,48.519665,-72.265735,CA,Roberval,YRJ
Red Lake Airport,51.066898345947266,-93.79309844970705,CA,Red Lake,YRL
Ottawa / Rockcliffe Airport,45.4603004456,-75.64610290530001,CA,Ottawa,YRO
Ottawa / Carp Airport,45.3191986084,-76.0222015381,CA,Ottawa,
Trois-Rivières Airport,46.35279846191406,-72.67939758300781,CA,Trois-Rivières,YRQ
Rankin Inlet Airport,62.8114013672,-92.1157989502,CA,Rankin Inlet,YRT
Revelstoke Airport,50.962245,-118.184258,CA,Revelstoke,YRV
Sudbury Airport,46.625,-80.79889678955078,CA,Sudbury,YSB
Sherbrooke Airport,45.438599,-71.691399,CA,Sherbrooke,YSC
Stony Rapids Airport,59.250301361083984,-105.84100341796876,CA,Stony Rapids,YSF
Saint-Georges Airport,46.096401,-70.714699,CA,Saint-Georges,
Smiths Falls-Montague (Russ Beach) Airport,44.945801,-75.940598,CA,Smiths Falls,YSH
Saint John Airport,45.31610107421875,-65.89029693603516,CA,Saint John,YSJ
Saint-Léonard Airport,47.157097,-67.836242,CA,Saint-Léonard,YSL
